date,index_name,action,symbol
2018-04-04,SP500,remove,CSRA
2018-04-04,SP500,add,MSCI
2018-03-19,SP500,remove,SIG
2018-03-19,SP500,remove,PDCO
2018-03-19,SP500,remove,CHK
2018-03-19,SP500,add,TTWO
2018-03-19,SP500,add,SIVB
2018-03-19,SP500,add,NKTR
2018-03-07,SP500,remove,SNI
2018-03-07,SP500,add,IPGP
2018-01-03,SP500,remove,BCR
2018-01-03,SP500,add,HII
2017-11-15,SP500,remove,Q
2017-11-15,SP500,add,IQV
2017-10-13,SP500,remove,LVLT
2017-10-13,SP500,add,NCLH
2017-09-18,SP500,remove,SPLS
2017-09-18,SP500,add,CDNS
2017-09-01,SP500,remove,DOW
2017-09-01,SP500,remove,DD
2017-09-01,SP500,add,SBAC
2017-09-01,SP500,add,DWDP
2017-08-29,SP500,remove,WFM
2017-08-29,SP500,add,Q
2017-08-08,SP500,remove,AN
2017-08-08,SP500,add,BHF
2017-07-26,SP500,remove,RIG
2017-07-26,SP500,remove,RAI
2017-07-26,SP500,remove,MUR
2017-07-26,SP500,remove,MNK
2017-07-26,SP500,remove,BBBY
2017-07-26,SP500,add,RMD
2017-07-26,SP500,add,PKG
2017-07-26,SP500,add,MGM
2017-07-26,SP500,add,DRE
2017-07-26,SP500,add,AOS
2017-07-07,SP500,remove,BHI
2017-07-07,SP500,add,BKR
2017-06-19,SP500,remove,YHOO
2017-06-19,SP500,remove,TDC
2017-06-19,SP500,remove,R
2017-06-19,SP500,remove,MJN
2017-06-19,SP500,add,HLT
2017-06-19,SP500,add,EG
2017-06-19,SP500,add,ANSS
2017-06-19,SP500,add,ALGN
2017-06-02,SP500,remove,TGNA
2017-06-02,SP500,add,INFO
2017-04-05,SP500,remove,DNB
2017-04-05,SP500,add,IT
2017-04-04,SP500,remove,SWN
2017-04-04,SP500,add,DXC
2017-03-20,SP500,remove,URBN
2017-03-20,SP500,remove,FTR
2017-03-20,SP500,remove,FSLR
2017-03-20,SP500,add,RJF
2017-03-20,SP500,add,ARE
2017-03-20,SP500,add,AMD
2017-03-16,SP500,remove,HAR
2017-03-16,SP500,add,SNPS
2017-03-13,SP500,remove,LLTC
2017-03-13,SP500,add,DISH
2017-03-02,SP500,remove,ENDP
2017-03-02,SP500,add,REG
2017-03-01,SP500,remove,PBI
2017-03-01,SP500,add,CBOE
2017-02-28,SP500,remove,SE
2017-02-28,SP500,add,INCY
2017-01-05,SP500,remove,STJ
2017-01-05,SP500,add,IDXX
2016-12-02,SP500,remove,OI
2016-12-02,SP500,remove,LM
2016-12-02,SP500,add,MAA
2016-12-02,SP500,add,EVHC
2016-11-01,SP500,remove,AA
2016-11-01,SP500,add,ARNC
2016-09-30,SP500,remove,DO
2016-09-30,SP500,add,COTY
2016-09-22,SP500,remove,HOT
2016-09-22,SP500,add,COO
2016-09-08,SP500,remove,EMC
2016-09-08,SP500,add,CHTR
2016-09-06,SP500,remove,TYC
2016-09-06,SP500,add,MTD
2016-07-05,SP500,remove,CPGX
2016-07-05,SP500,add,FTV
2016-07-01,SP500,remove,TE
2016-07-01,SP500,remove,GAS
2016-07-01,SP500,add,LNT
2016-07-01,SP500,add,ALB
2016-06-22,SP500,remove,CVC
2016-06-22,SP500,add,FBHS
2016-06-03,SP500,remove,BXLT
2016-06-03,SP500,add,TDG
2016-05-31,SP500,remove,CCE
2016-05-31,SP500,add,AJG
2016-05-23,SP500,remove,ARG
2016-05-23,SP500,add,LKQ
2016-05-18,SP500,remove,TWC
2016-05-18,SP500,add,DLR
2016-05-13,SP500,remove,SNDK
2016-05-13,SP500,add,ALK
2016-05-03,SP500,remove,ADT
2016-05-03,SP500,add,AYI
2016-04-25,SP500,remove,GME
2016-04-25,SP500,add,GPN
2016-04-18,SP500,remove,THC
2016-04-18,SP500,add,ULTA
2016-04-08,SP500,add,UA
2016-04-04,SP500,remove,CAM
2016-04-04,SP500,add,FL
2016-03-30,SP500,remove,POM
2016-03-30,SP500,remove,ESV
2016-03-30,SP500,add,HOLX
2016-03-30,SP500,add,CNC
2016-03-07,SP500,remove,GMCR
2016-03-07,SP500,add,UDR
2016-03-04,SP500,remove,CNX
2016-03-04,SP500,add,AWK
2016-02-22,SP500,remove,PCL
2016-02-22,SP500,add,CXO
2016-02-01,SP500,remove,PCP
2016-02-01,SP500,remove,BRCM
2016-02-01,SP500,add,FRT
2016-02-01,SP500,add,CFG
2016-01-19,SP500,add,EXR
2016-01-05,SP500,remove,FOSL
2016-01-05,SP500,add,WLTW
2015-12-29,SP500,remove,ALTR
2015-12-29,SP500,add,CHD
2015-12-15,SP500,remove,CMCSK
2015-12-01,SP500,remove,CSC
2015-12-01,SP500,add,CSRA
2015-11-19,SP500,remove,SIAL
2015-11-19,SP500,add,ILMN
2015-11-18,SP500,remove,GNW
2015-11-18,SP500,add,SYF
2015-11-02,SP500,remove,HCBK
2015-11-02,SP500,add,HPE
2015-10-07,SP500,remove,JOY
2015-10-07,SP500,add,VRSK
2015-09-18,SP500,add,NWS
2015-09-18,SP500,add,FOX
2015-09-18,SP500,add,CMCSK
2015-09-02,SP500,remove,HSP
2015-09-02,SP500,add,UAL
2015-08-28,SP500,remove,PLL
2015-08-28,SP500,add,ATVI
2015-07-29,SP500,remove,DTV
2015-07-29,SP500,add,SIG
2015-07-20,SP500,remove,NE
2015-07-20,SP500,add,PYPL
2015-07-08,SP500,remove,FDO
2015-07-08,SP500,add,AAP
2015-07-06,SP500,remove,KRFT
2015-07-06,SP500,add,KHC
2015-07-02,SP500,remove,ATI
2015-07-02,SP500,add,CPGX
2015-07-01,SP500,remove,TEG
2015-07-01,SP500,remove,QEP
2015-07-01,SP500,add,JBHT
2015-07-01,SP500,add,BXLT
2015-06-11,SP500,remove,LO
2015-06-11,SP500,add,QRVO
2015-04-07,SP500,remove,WIN
2015-04-07,SP500,add,O
2015-03-23,SP500,remove,NBR
2015-03-23,SP500,remove,DNR
2015-03-23,SP500,remove,AVP
2015-03-23,SP500,remove,AGN
2015-03-23,SP500,add,SLG
2015-03-23,SP500,add,HBI
2015-03-23,SP500,add,EQIX
2015-03-23,SP500,add,AGN
2015-03-23,SP500,add,AAL
2015-03-18,SP500,remove,CFN
2015-03-18,SP500,add,HSIC
2015-03-12,SP500,remove,PETM
2015-03-12,SP500,add,SWKS
2015-01-27,SP500,remove,SWY
2015-01-27,SP500,remove,COV
2015-01-27,SP500,add,HCA
2015-01-27,SP500,add,ENDP
2014-12-05,SP500,remove,BMS
2014-12-05,SP500,add,RCL
2014-11-05,SP500,remove,JBL
2014-11-05,SP500,add,LVLT
2014-09-20,SP500,remove,GHC
2014-09-20,SP500,remove,BTU
2014-09-20,SP500,add,URI
2014-09-20,SP500,add,UHS
2014-08-18,SP500,remove,RDC
2014-08-18,SP500,add,MNK
2014-08-06,SP500,add,DISCK
2014-07-02,SP500,remove,X
2014-07-02,SP500,add,MLM
2014-07-01,SP500,remove,FRX
2014-07-01,SP500,add,AMG
2014-06-20,SP500,remove,IGT
2014-06-20,SP500,add,XEC
2014-05-08,SP500,remove,LSI
2014-05-08,SP500,add,AVGO
2014-05-01,SP500,remove,SLM
2014-05-01,SP500,remove,BEAM
2014-05-01,SP500,add,UAA
2014-05-01,SP500,add,NAVI
2014-04-03,SP500,add,GOOGL
2014-04-02,SP500,remove,CLF
2014-04-02,SP500,add,ESS
2014-03-21,SP500,remove,WPX
2014-03-21,SP500,add,GMCR
2014-01-24,SP500,remove,LIFE
2014-01-24,SP500,add,TSCO
2013-12-23,SP500,remove,TER
2013-12-23,SP500,remove,JDSU
2013-12-23,SP500,remove,ANF
2013-12-23,SP500,add,MHK
2013-12-23,SP500,add,META
2013-12-23,SP500,add,ADS
2013-12-10,SP500,remove,MOLX
2013-12-10,SP500,add,GGP
2013-12-02,SP500,remove,JCP
2013-12-02,SP500,add,ALLE
2013-11-13,SP500,remove,NYX
2013-11-13,SP500,add,CPRI
2013-10-29,SP500,remove,DELL
2013-10-29,SP500,add,RIG
2013-09-20,SP500,remove,SAI
2013-09-20,SP500,remove,AMD
2013-09-20,SP500,add,VRTX
2013-09-20,SP500,add,AME
2013-09-10,SP500,remove,BMC
2013-09-10,SP500,add,DAL
2013-07-08,SP500,remove,S
2013-07-08,SP500,add,NLSN
2013-07-01,SP500,remove,APOL
2013-07-01,SP500,add,NWSA
2013-06-21,SP500,remove,FHN
2013-06-21,SP500,add,ZTS
2013-06-06,SP500,remove,HNZ
2013-06-06,SP500,add,GM
2013-05-23,SP500,remove,DF
2013-05-23,SP500,add,KSU
2013-05-08,SP500,remove,CVH
2013-05-08,SP500,add,MAC
2013-04-30,SP500,remove,PCS
2013-04-30,SP500,add,REGN
2013-02-15,SP500,remove,BIG
2013-02-15,SP500,add,PVH
2013-01-02,SP500,remove,FII
2013-01-02,SP500,add,ABBV
2012-12-21,SP500,remove,TIE
2012-12-21,SP500,add,APTV
2012-12-11,SP500,remove,RRD
2012-12-11,SP500,add,GRMN
2012-12-03,SP500,remove,CBE
2012-12-03,SP500,add,DG
2012-10-10,SP500,remove,SUN
2012-10-10,SP500,add,PETM
2012-10-02,SP500,remove,KFT
2012-10-02,SP500,remove,ANR
2012-10-02,SP500,add,MDLZ
2012-10-02,SP500,add,KRFT
2012-10-01,SP500,remove,LXK
2012-10-01,SP500,remove,DV
2012-10-01,SP500,add,PNR
2012-10-01,SP500,add,ADT
2012-09-05,SP500,remove,SHLD
2012-09-05,SP500,add,LYB
2012-07-31,SP500,remove,GR
2012-07-31,SP500,add,ESV
2012-07-02,SP500,remove,PGN
2012-07-02,SP500,add,STX
2012-06-29,SP500,remove,SLE
2012-06-29,SP500,add,MNST
2012-06-05,SP500,remove,NVLS
2012-06-05,SP500,add,LRCX
2012-05-21,SP500,remove,MMI
2012-05-21,SP500,add,ALXN
2012-05-17,SP500,remove,EP
2012-05-17,SP500,add,KMI
2012-04-23,SP500,remove,SVU
2012-04-23,SP500,add,PSX
2012-04-03,SP500,remove,MHS
2012-04-03,SP500,add,FOSL
2012-03-13,SP500,remove,CEG
2012-03-13,SP500,add,CCI
2011-12-31,SP500,remove,CPWR
2011-12-31,SP500,add,WPX
2011-12-20,SP500,remove,TLAB
2011-12-20,SP500,add,TRIP
2011-12-16,SP500,remove,WFR
2011-12-16,SP500,remove,MWW
2011-12-16,SP500,remove,AKS
2011-12-16,SP500,add,PRGO
2011-12-16,SP500,add,DLTR
2011-12-16,SP500,add,BWA
2011-12-12,SP500,remove,GAS
2011-12-12,SP500,add,GAS
2011-11-18,SP500,remove,JNS
2011-11-18,SP500,add,CBE
2011-10-31,SP500,remove,ITT
2011-10-31,SP500,add,XYL
2011-10-14,SP500,remove,CEPH
2011-10-14,SP500,add,TEL
2011-09-23,SP500,remove,NSM
2011-09-23,SP500,add,MOS
2011-07-05,SP500,remove,MI
2011-07-05,SP500,add,ACN
2011-06-30,SP500,remove,RSH
2011-06-30,SP500,add,MPC
2011-06-01,SP500,remove,MEE
2011-06-01,SP500,add,ANR
2011-04-27,SP500,remove,NOVL
2011-04-27,SP500,add,CMG
2011-04-01,SP500,remove,GENZ
2011-04-01,SP500,add,BLK
2011-03-31,SP500,remove,Q
2011-03-31,SP500,add,EW
2011-02-28,SP500,remove,MFE
2011-02-28,SP500,add,COV
2011-02-25,SP500,remove,AYE
2011-02-25,SP500,add,JOY
2011-01-03,SP500,remove,MDP
2011-01-03,SP500,add,MMI
2010-12-17,SP500,remove,ODP
2010-12-17,SP500,remove,NYT
2010-12-17,SP500,remove,KG
2010-12-17,SP500,remove,EK
2010-12-17,SP500,add,NFX
2010-12-17,SP500,add,NFLX
2010-12-17,SP500,add,FFIV
2010-12-17,SP500,add,CVC
2010-11-17,SP500,remove,PTV
2010-11-17,SP500,add,TT
2010-08-26,SP500,remove,SII
2010-08-26,SP500,add,TYC
2010-07-14,SP500,remove,MIL
2010-07-14,SP500,add,CB
2010-06-30,SP500,remove,STR
2010-06-30,SP500,add,QEP
2010-06-28,SP500,remove,XTO
2010-06-28,SP500,add,KMX
2010-04-29,SP500,remove,BJS
2010-04-29,SP500,add,CERN
2010-02-26,SP500,remove,RX
2010-02-26,SP500,add,HP
2009-12-18,SP500,remove,MBI
2009-12-18,SP500,remove,KBH
2009-12-18,SP500,remove,DYN
2009-12-18,SP500,remove,CVG
2009-12-18,SP500,remove,CIEN
2009-12-18,SP500,add,V
2009-12-18,SP500,add,SAI
2009-12-18,SP500,add,ROST
2009-12-18,SP500,add,MJN
2009-12-18,SP500,add,CLF
2009-11-03,SP500,remove,SGP
2009-11-03,SP500,add,BKNG
2009-09-28,SP500,remove,CBE
2009-09-28,SP500,add,ARG
2009-08-19,SP500,remove,CTX
2009-08-19,SP500,add,FMC
2009-06-29,SP500,add,PCS
2009-06-25,SP500,remove,TEL
2009-06-05,SP500,remove,COV
2009-06-05,SP500,add,FTI
2009-03-03,SP500,remove,JNY
2009-03-03,SP500,remove,ACAS
2009-03-03,SP500,add,VTR
2009-03-03,SP500,add,HRL
2008-12-31,SP500,remove,WB
2008-12-31,SP500,add,OI
2008-09-16,SP500,remove,LEH
2008-09-16,SP500,add,LHX
2008-09-12,SP500,remove,FNM
2008-09-12,SP500,remove,FMCC
2008-09-12,SP500,add,FAST
2008-09-12,SP500,add,CRM
2008-07-01,SP500,remove,CFC
2008-07-01,SP500,add,AKS
2008-06-23,SP500,remove,OMX
2008-06-23,SP500,remove,BC
2008-06-23,SP500,add,MEE
2008-06-23,SP500,add,CTRA
2008-06-10,SP500,remove,ABK
2008-06-10,SP500,add,LO
