date,index_name,action,symbol,source,revid
2020-04-19,SP500,remove,UTX,snapshot,951876743
2020-04-19,SP500,remove,RTN,snapshot,951876743
2020-04-19,SP500,remove,M,snapshot,951876743
2020-04-19,SP500,remove,ARNC,snapshot,951876743
2020-04-19,SP500,add,RTX,snapshot,951876743
2020-04-19,SP500,add,OTIS,snapshot,951876743
2020-04-19,SP500,add,HWM,snapshot,951876743
2020-04-19,SP500,add,CARR,snapshot,951876743
2020-03-11,SP500,remove,XEC,snapshot,945114809
2020-03-11,SP500,add,IR,snapshot,945114809
2020-01-31,SP500,remove,WCG,snapshot,938422340
2020-01-31,SP500,add,PAYC,snapshot,938422340
2019-12-31,SP500,remove,VIAB,snapshot,933395471
2019-12-31,SP500,remove,TRIP,snapshot,933395471
2019-12-31,SP500,remove,STI,snapshot,933395471
2019-12-31,SP500,remove,MAC,snapshot,933395471
2019-12-31,SP500,remove,JEC,snapshot,933395471
2019-12-31,SP500,remove,CBS,snapshot,933395471
2019-12-31,SP500,remove,BBT,snapshot,933395471
2019-12-31,SP500,remove,AMG,snapshot,933395471
2019-12-31,SP500,add,ZBRA,snapshot,933395471
2019-12-31,SP500,add,WRB,snapshot,933395471
2019-12-31,SP500,add,VIAC,snapshot,933395471
2019-12-31,SP500,add,TFC,snapshot,933395471
2019-12-31,SP500,add,STE,snapshot,933395471
2019-12-31,SP500,add,ODFL,snapshot,933395471
2019-12-31,SP500,add,LYV,snapshot,933395471
2019-12-31,SP500,add,J,snapshot,933395471
2019-11-29,SP500,remove,SYMC,snapshot,928477191
2019-11-29,SP500,remove,HCP,snapshot,928477191
2019-11-29,SP500,remove,CELG,snapshot,928477191
2019-11-29,SP500,add,PEAK,snapshot,928477191
2019-11-29,SP500,add,NOW,snapshot,928477191
2019-11-29,SP500,add,NLOK,snapshot,928477191
2019-10-28,SP500,remove,NKTR,snapshot,923461473
2019-10-28,SP500,remove,BHGE,snapshot,923461473
2019-10-28,SP500,add,LVS,snapshot,923461473
2019-10-28,SP500,add,BKR,snapshot,923461473
2019-09-29,SP500,remove,TSS,snapshot,918683707
2019-09-29,SP500,remove,JEF,snapshot,918683707
2019-09-29,SP500,add,NVR,snapshot,918683707
2019-09-29,SP500,add,CDW,snapshot,918683707
2019-08-28,SP500,remove,TMK,snapshot,912848421
2019-08-28,SP500,remove,FL,snapshot,912848421
2019-08-28,SP500,remove,APC,snapshot,912848421
2019-08-28,SP500,add,LDOS,snapshot,912848421
2019-08-28,SP500,add,IEX,snapshot,912848421
2019-08-28,SP500,add,GL,snapshot,912848421
2019-07-19,SP500,remove,RHT,snapshot,906900594
2019-07-19,SP500,remove,LLL,snapshot,906900594
2019-07-19,SP500,add,TMUS,snapshot,906900594
2019-07-19,SP500,add,MKTX,snapshot,906900594
2019-06-24,SP500,remove,MAT,snapshot,903160297
2019-06-24,SP500,remove,FLR,snapshot,903160297
2019-06-24,SP500,remove,DWDP,snapshot,903160297
2019-06-24,SP500,add,DD,snapshot,903160297
2019-06-24,SP500,add,CTVA,snapshot,903160297
2019-06-24,SP500,add,AMCR,snapshot,903160297
2019-04-30,SP500,remove,SCG,snapshot,894904201
2019-04-30,SP500,remove,PCG,snapshot,894904201
2019-04-30,SP500,remove,NFX,snapshot,894904201
2019-04-30,SP500,remove,GT,snapshot,894904201
2019-04-30,SP500,remove,BHF,snapshot,894904201
2019-04-30,SP500,add,WAB,snapshot,894904201
2019-04-30,SP500,add,TFX,snapshot,894904201
2019-04-30,SP500,add,FRC,snapshot,894904201
2019-04-30,SP500,add,DOW,snapshot,894904201
2019-04-30,SP500,add,ATO,snapshot,894904201
2018-12-31,SP500,remove,SRCL,snapshot,876091698
2018-12-31,SP500,remove,ESRX,snapshot,876091698
2018-12-31,SP500,remove,COL,snapshot,876091698
2018-12-31,SP500,remove,AET,snapshot,876091698
2018-12-31,SP500,add,MXIM,snapshot,876091698
2018-12-31,SP500,add,LW,snapshot,876091698
2018-12-31,SP500,add,FANG,snapshot,876091698
2018-12-31,SP500,add,CE,snapshot,876091698
2018-11-27,SP500,remove,PX,snapshot,870885561
2018-11-27,SP500,remove,EQT,snapshot,870885561
2018-11-27,SP500,remove,CA,snapshot,870885561
2018-11-27,SP500,add,LIN,snapshot,870885561
2018-11-27,SP500,add,KEYS,snapshot,870885561
2018-11-27,SP500,add,JKHY,snapshot,870885561
2018-10-31,SP500,remove,EVHC,snapshot,866568340
2018-10-31,SP500,remove,ANDV,snapshot,866568340
2018-10-31,SP500,add,ROL,snapshot,866568340
2018-10-31,SP500,add,FTNT,snapshot,866568340
2018-09-26,SP500,remove,XL,snapshot,861235961
2018-09-26,SP500,add,WCG,snapshot,861235961
2018-08-30,SP500,remove,GGP,snapshot,857297425
2018-08-30,SP500,add,ANET,snapshot,857297425
2018-07-21,SP500,remove,DPS,snapshot,851252056
2018-07-21,SP500,add,CPRT,snapshot,851252056
2018-06-29,SP500,remove,TWX,snapshot,848091676
2018-06-29,SP500,remove,RRC,snapshot,848091676
2018-06-29,SP500,remove,NAVI,snapshot,848091676
2018-06-29,SP500,remove,MON,snapshot,848091676
2018-06-29,SP500,remove,AYI,snapshot,848091676
2018-06-29,SP500,add,TWTR,snapshot,848091676
2018-06-29,SP500,add,HFC,snapshot,848091676
2018-06-29,SP500,add,FLT,snapshot,848091676
2018-06-29,SP500,add,EVRG,snapshot,848091676
2018-06-29,SP500,add,BR,snapshot,848091676
2018-05-31,SP500,remove,WYN,snapshot,843790751
2018-05-31,SP500,remove,LUK,snapshot,843790751
2018-05-31,SP500,add,JEF,snapshot,843790751
2018-05-31,SP500,add,ABMD,snapshot,843790751
2018-04-30,SP500,remove,CSRA,snapshot,838979851
2018-04-30,SP500,add,MSCI,snapshot,838979851
2018-03-29,SP500,remove,SNI,snapshot,833052312
2018-03-29,SP500,remove,SIG,snapshot,833052312
2018-03-29,SP500,remove,PDCO,snapshot,833052312
2018-03-29,SP500,remove,CHK,snapshot,833052312
2018-03-29,SP500,remove,CBG,snapshot,833052312
2018-03-29,SP500,add,TTWO,snapshot,833052312
2018-03-29,SP500,add,SIVB,snapshot,833052312
2018-03-29,SP500,add,NKTR,snapshot,833052312
2018-03-29,SP500,add,IPGP,snapshot,833052312
2018-03-29,SP500,add,CBRE,snapshot,833052312
2018-02-28,SP500,remove,HCN,snapshot,828166632
2018-02-28,SP500,add,WELL,snapshot,828166632
2018-01-19,SP500,remove,BCR,snapshot,821321383
2018-01-19,SP500,add,HII,snapshot,821321383
2017-11-30,SP500,remove,Q,snapshot,812940398
2017-11-30,SP500,add,IQV,snapshot,812940398
2017-10-31,SP500,remove,LVLT,snapshot,808078947
2017-10-31,SP500,remove,COH,snapshot,808078947
2017-10-31,SP500,add,TPR,snapshot,808078947
2017-10-31,SP500,add,NCLH,snapshot,808078947
2017-09-20,SP500,remove,SPLS,snapshot,801637797
2017-09-20,SP500,remove,DOW,snapshot,801637797
2017-09-20,SP500,remove,DD,snapshot,801637797
2017-09-20,SP500,add,SBAC,snapshot,801637797
2017-09-20,SP500,add,DWDP,snapshot,801637797
2017-09-20,SP500,add,CDNS,snapshot,801637797
2017-08-29,SP500,remove,WFM,snapshot,797887606
2017-08-29,SP500,remove,TSO,snapshot,797887606
2017-08-29,SP500,remove,AN,snapshot,797887606
2017-08-29,SP500,add,Q,snapshot,797887606
2017-08-29,SP500,add,BHF,snapshot,797887606
2017-08-29,SP500,add,ANDV,snapshot,797887606
2017-07-28,SP500,remove,RIG,snapshot,792700872
2017-07-28,SP500,remove,RAI,snapshot,792700872
2017-07-28,SP500,remove,MUR,snapshot,792700872
2017-07-28,SP500,remove,MNK,snapshot,792700872
2017-07-28,SP500,remove,BHI,snapshot,792700872
2017-07-28,SP500,remove,BBBY,snapshot,792700872
2017-07-28,SP500,add,RMD,snapshot,792700872
2017-07-28,SP500,add,PKG,snapshot,792700872
2017-07-28,SP500,add,MGM,snapshot,792700872
2017-07-28,SP500,add,DRE,snapshot,792700872
2017-07-28,SP500,add,BHGE,snapshot,792700872
2017-07-28,SP500,add,AOS,snapshot,792700872
2017-06-20,SP500,remove,YHOO,snapshot,786648328
2017-06-20,SP500,remove,TGNA,snapshot,786648328
2017-06-20,SP500,remove,TDC,snapshot,786648328
2017-06-20,SP500,remove,R,snapshot,786648328
2017-06-20,SP500,remove,MJN,snapshot,786648328
2017-06-20,SP500,add,INFO,snapshot,786648328
2017-06-20,SP500,add,HLT,snapshot,786648328
2017-06-20,SP500,add,EG,snapshot,786648328
2017-06-20,SP500,add,ANSS,snapshot,786648328
2017-06-20,SP500,add,ALGN,snapshot,786648328
2017-04-30,SP500,remove,SWN,snapshot,777916028
2017-04-30,SP500,remove,DNB,snapshot,777916028
2017-04-30,SP500,add,IT,snapshot,777916028
2017-04-30,SP500,add,DXC,snapshot,777916028
2017-03-31,SP500,remove,URBN,snapshot,773052884
2017-03-31,SP500,remove,LLTC,snapshot,773052884
2017-03-31,SP500,remove,HAR,snapshot,773052884
2017-03-31,SP500,remove,FTR,snapshot,773052884
2017-03-31,SP500,remove,FSLR,snapshot,773052884
2017-03-31,SP500,remove,ENDP,snapshot,773052884
2017-03-31,SP500,add,SNPS,snapshot,773052884
2017-03-31,SP500,add,RJF,snapshot,773052884
2017-03-31,SP500,add,REG,snapshot,773052884
2017-03-31,SP500,add,DISH,snapshot,773052884
2017-03-31,SP500,add,ARE,snapshot,773052884
2017-03-31,SP500,add,AMD,snapshot,773052884
2017-02-28,SP500,remove,SE,snapshot,767962013
2017-02-28,SP500,remove,PBI,snapshot,767962013
2017-02-28,SP500,add,INCY,snapshot,767962013
2017-02-28,SP500,add,CBOE,snapshot,767962013
2017-01-28,SP500,remove,STJ,snapshot,762319635
2017-01-28,SP500,add,IDXX,snapshot,762319635
2016-12-30,SP500,remove,OI,snapshot,757478916
2016-12-30,SP500,remove,LM,snapshot,757478916
2016-12-30,SP500,add,UAA,snapshot,757478916
2016-12-30,SP500,add,MAA,snapshot,757478916
2016-12-30,SP500,add,EVHC,snapshot,757478916
2016-11-30,SP500,remove,AA,snapshot,752336101
2016-11-30,SP500,add,ARNC,snapshot,752336101
2016-09-30,SP500,remove,TYC,snapshot,741981720
2016-09-30,SP500,remove,HOT,snapshot,741981720
2016-09-30,SP500,remove,EMC,snapshot,741981720
2016-09-30,SP500,remove,DO,snapshot,741981720
2016-09-30,SP500,add,MTD,snapshot,741981720
2016-09-30,SP500,add,COTY,snapshot,741981720
2016-09-30,SP500,add,COO,snapshot,741981720
2016-09-30,SP500,add,CHTR,snapshot,741981720
2016-07-15,SP500,remove,TE,snapshot,729875005
2016-07-15,SP500,remove,GAS,snapshot,729875005
2016-07-15,SP500,remove,CPGX,snapshot,729875005
2016-07-15,SP500,add,LNT,snapshot,729875005
2016-07-15,SP500,add,FTV,snapshot,729875005
2016-07-15,SP500,add,ALB,snapshot,729875005
2016-06-26,SP500,remove,CVC,snapshot,727141812
2016-06-26,SP500,remove,BXLT,snapshot,727141812
2016-06-26,SP500,add,TDG,snapshot,727141812
2016-06-26,SP500,add,FBHS,snapshot,727141812
2016-05-27,SP500,remove,TWC,snapshot,722392889
2016-05-27,SP500,remove,SNDK,snapshot,722392889
2016-05-27,SP500,remove,CCE,snapshot,722392889
2016-05-27,SP500,remove,ARG,snapshot,722392889
2016-05-27,SP500,remove,ADT,snapshot,722392889
2016-05-27,SP500,add,LKQ,snapshot,722392889
2016-05-27,SP500,add,DLR,snapshot,722392889
2016-05-27,SP500,add,AYI,snapshot,722392889
2016-05-27,SP500,add,ALK,snapshot,722392889
2016-05-27,SP500,add,AJG,snapshot,722392889
2016-04-27,SP500,remove,UAA,snapshot,717406907
2016-04-27,SP500,remove,THC,snapshot,717406907
