date,index_name,action,symbol,security
2013-01-15,NDX100,add,STRZA,Starz
2012-12-24,NDX100,remove,WCRX,Warner Chilcott
2012-12-24,NDX100,remove,VRSN,VeriSign
2012-12-24,NDX100,remove,NFLX,Netflix
2012-12-24,NDX100,remove,MRVL,Marvell Technology Group
2012-12-24,NDX100,remove,LRCX,Lam Research
2012-12-24,NDX100,remove,GMCR,Green Mountain Coffee Roasters
2012-12-24,NDX100,remove,FLEX,Flextronics
2012-12-24,NDX100,remove,EA,Electronic Arts
2012-12-24,NDX100,remove,BB,Research in Motion
2012-12-24,NDX100,remove,APOL,Apollo Group
2012-12-24,NDX100,add,WDC,Western Digital
2012-12-24,NDX100,add,VRSK,Verisk Analytics
2012-12-24,NDX100,add,SBAC,SBA Communications
2012-12-24,NDX100,add,REGN,Regeneron Pharmaceuticals
2012-12-24,NDX100,add,LMCA,Liberty Media
2012-12-24,NDX100,add,LBTYA,Liberty Global
2012-12-24,NDX100,add,EQIX,Equinix
2012-12-24,NDX100,add,DISCA,Discovery Communications
2012-12-24,NDX100,add,CTRX,Catamaran Corporation
2012-12-24,NDX100,add,ADI,Analog Devices
2012-12-12,NDX100,remove,INFY,Infosys
2012-12-12,NDX100,add,META,"Facebook, Inc."
2012-07-23,NDX100,remove,TCOM,Ctrip
2012-07-23,NDX100,add,MDLZ,Kraft Foods
2012-05-30,NDX100,remove,TEVA,Teva Pharmaceutical Industries
2012-05-30,NDX100,add,VIAB,Viacom
2012-04-23,NDX100,remove,FSLR,First Solar
2012-04-23,NDX100,add,TXN,Texas Instruments
2011-12-19,NDX100,remove,URBN,Urban Outfitters
2011-12-19,NDX100,remove,QGEN,Qiagen
2011-12-19,NDX100,remove,NIHD,NII Holdings
2011-12-19,NDX100,remove,ILMN,Illumina
2011-12-19,NDX100,remove,FLIR,FLIR Systems
2011-12-19,NDX100,add,NUAN,Nuance Communications
2011-12-19,NDX100,add,MNST,Hansen Natural
2011-12-19,NDX100,add,GOLD,Randgold Resources
2011-12-19,NDX100,add,FOSL,Fossil Group
2011-12-19,NDX100,add,AVGO,Avago Technologies
2011-12-06,NDX100,remove,JOYG,Joy Global
2011-12-06,NDX100,add,PRGO,Perrigo
2011-07-15,NDX100,remove,CEPH,Cephalon
2011-07-15,NDX100,add,SIRI,Sirius XM Radio
2011-05-27,NDX100,remove,MICC,Millicom International Cellular
2011-05-27,NDX100,add,GMCR,Green Mountain Coffee Roasters
2011-04-04,NDX100,remove,GENZ,Genzyme
2011-04-04,NDX100,add,ALXN,Alexion Pharmaceuticals
2010-12-20,NDX100,remove,PDCO,Patterson Companies
2010-12-20,NDX100,remove,LOGI,Logitech
2010-12-20,NDX100,remove,JBHT,J. B. Hunt
2010-12-20,NDX100,remove,HOLX,Hologic
2010-12-20,NDX100,remove,FWLT,Foster Wheeler
2010-12-20,NDX100,remove,DISH,Dish Network
2010-12-20,NDX100,remove,CTAS,Cintas
2010-12-20,NDX100,add,WFM,Whole Foods Market
2010-12-20,NDX100,add,TCOM,Ctrip
2010-12-20,NDX100,add,NFLX,Netflix
2010-12-20,NDX100,add,MU,Micron Technology
2010-12-20,NDX100,add,FFIV,F5 Networks
2010-12-20,NDX100,add,DLTR,Dollar Tree
2010-12-20,NDX100,add,AKAM,Akamai Technologies
2009-12-21,NDX100,remove,STLD,Steel Dynamics
2009-12-21,NDX100,remove,RYAAY,Ryanair
2009-12-21,NDX100,remove,PPDI,Pharmaceutical Product Development
2009-12-21,NDX100,remove,MNST,Hansen Natural
2009-12-21,NDX100,remove,LBTYA,Liberty Global Class A
2009-12-21,NDX100,remove,IAC,IAC/InterActiveCorp
2009-12-21,NDX100,remove,AKAM,Akamai Technologies
2009-12-21,NDX100,add,VOD,Vodafone
2009-12-21,NDX100,add,VMED,Virgin Media
2009-12-21,NDX100,add,SNDK,SanDisk
2009-12-21,NDX100,add,QGEN,Qiagen
2009-12-21,NDX100,add,MYL,Mylan
2009-12-21,NDX100,add,MAT,Mattel
2009-12-21,NDX100,add,BMC,BMC Software
2009-10-29,NDX100,remove,JNPR,Juniper Networks
2009-10-29,NDX100,add,BKNG,Priceline.com
2009-07-17,NDX100,remove,JAVA,Sun Microsystems
2009-07-17,NDX100,add,CERN,Cerner
2009-01-20,NDX100,remove,FMCN,Focus Media Holding
2009-01-20,NDX100,add,FOXA,News Corporation Class A
2008-12-22,NDX100,remove,WFM,Whole Foods Market
2008-12-22,NDX100,remove,VMED,Virgin Media
2008-12-22,NDX100,remove,SNDK,SanDisk
2008-12-22,NDX100,remove,SIRI,Sirius XM Radio
2008-12-22,NDX100,remove,PETM,PetSmart
2008-12-22,NDX100,remove,LVLT,Level 3 Communications
2008-12-22,NDX100,remove,LEAP,Leap Wireless International
2008-12-22,NDX100,remove,LAMR,Lamar Advertising Company
2008-12-22,NDX100,remove,DISCA,Discovery Communications Class A
2008-12-22,NDX100,remove,CDNS,Cadence Design Systems
2008-12-22,NDX100,remove,AMLN,Amylin Pharmaceuticals
2008-12-22,NDX100,add,WCRX,Warner Chilcott
2008-12-22,NDX100,add,URBN,Urban Outfitters
2008-12-22,NDX100,add,ROST,Ross Stores
2008-12-22,NDX100,add,PPDI,Pharmaceutical Product Development
2008-12-22,NDX100,add,ORLY,O'Reilly Auto Parts
2008-12-22,NDX100,add,MXIM,Maxim Integrated Products
2008-12-22,NDX100,add,LIFE,Life Technologies
2008-12-22,NDX100,add,JBHT,J. B. Hunt
2008-12-22,NDX100,add,ILMN,Illumina
2008-12-22,NDX100,add,FSLR,First Solar
2008-12-22,NDX100,add,ADP,Automatic Data Processing
2008-11-10,NDX100,remove,MWW,Monster Worldwide
2008-11-10,NDX100,add,STX,Seagate Technology
2008-07-21,NDX100,remove,UAL,UAL Corporation
2008-07-21,NDX100,add,FLIR,FLIR Systems
2008-05-19,NDX100,remove,TLAB,Tellabs
2008-05-19,NDX100,add,CA,CA Technologies
2008-04-30,NDX100,remove,BEAS,BEA Systems
2008-04-30,NDX100,add,DTV,DirecTV
